points, bw, hilbert, xsort
5000, 16.5532, 9.06994, 0.238348
5000, 16.5574, 8.97579, 0.237084
5000, 16.6811, 8.98681, 0.240879
5000, 16.4353, 9.20644, 0.235724
10000, 16.9166, 9.19468, 0.19754
10000, 16.911, 9.28734, 0.19626
10000, 16.9897, 9.37058, 0.194705
10000, 17.084, 9.25849, 0.194677
15000, 17.1686, 9.67712, 0.173503
15000, 17.0508, 9.60656, 0.172207
15000, 17.2002, 9.51512, 0.173832
15000, 17.1501, 9.53099, 0.174709
20000, 17.2083, 9.65942, 0.158528
20000, 17.2181, 9.61005, 0.157895
20000, 17.2965, 9.61775, 0.158927
20000, 17.2716, 9.64235, 0.158803
25000, 17.2505, 9.54765, 0.149375
25000, 17.2922, 9.56668, 0.148261
25000, 17.1981, 9.48493, 0.14785
25000, 17.3248, 9.49963, 0.149316
30000, 17.3755, 9.6901, 0.139941
30000, 17.348, 9.74914, 0.140964
30000, 17.1999, 9.5923, 0.140222
30000, 17.3881, 9.63758, 0.140943
35000, 17.3265, 9.52181, 0.133397
35000, 17.4444, 9.54335, 0.133592
35000, 17.267, 9.56429, 0.132678
35000, 17.4517, 9.63262, 0.134304
40000, 17.3268, 9.7055, 0.128132
40000, 17.3975, 9.70995, 0.128598
40000, 17.3718, 9.76431, 0.127512
40000, 17.2564, 9.79226, 0.128362
45000, 17.4634, 9.74244, 0.124183
45000, 17.4182, 9.69057, 0.123751
45000, 17.4299, 9.70808, 0.123817
45000, 17.5251, 9.69729, 0.123663
50000, 17.5298, 9.81806, 0.120021
50000, 17.4705, 9.81769, 0.119786
50000, 17.5378, 9.85813, 0.119563
50000, 17.4383, 9.82462, 0.1198
55000, 17.4045, 10.0073, 0.116183
55000, 17.4283, 9.99236, 0.116145
55000, 17.484, 9.99918, 0.11669
55000, 17.4587, 10.0407, 0.116505
60000, 17.5174, 9.8939, 0.113291
60000, 17.4483, 9.88737, 0.11286
60000, 17.4553, 9.86557, 0.112968
