points, bw, hilbert, xsort
5000, 0, 0, 21034
10000, 21034, 21034, 42555
15000, 42555, 42555, 63931
20000, 63931, 63931, 85665
25000, 85665, 85665, 106800
30000, 106800, 106800, 129245
35000, 129245, 129245, 150876
40000, 150876, 150876, 172512
45000, 172512, 172512, 194062
50000, 194062, 194062, 216706
55000, 216706, 216706, 237825
60000, 237825, 237825, 258028
65000, 258028, 258028, 278927
70000, 278927, 278927, 300489
75000, 300489, 300489, 323886
80000, 323886, 323886, 345468
85000, 345468, 345468, 367028
90000, 367028, 367028, 387815
95000, 387815, 387815, 410090
100000, 410090, 410090, 431138
105000, 431138, 431138, 453557
110000, 453557, 453557, 475228
115000, 475228, 475228, 497344
120000, 497344, 497344, 520750
125000, 520750, 520750, 541315
130000, 541315, 541315, 563423
135000, 563423, 563423, 587893
140000, 587893, 587893, 608914
145000, 608914, 608914, 629340
150000, 629340, 629340, 653577
