points, bw, hilbert, xsort
15000, 0, 86573, 0
30000, 0, 240970, 0
45000, 0, 354542, 0
60000, 0, 390995, 0
75000, 0, 342626, 0
90000, 0, 471000, 0
105000, 0, 605783, 0
120000, 0, 492663, 0
135000, 0, 456923, 0
150000, 0, 501606, 0
165000, 0, 544400, 0
180000, 0, 581885, 0
195000, 0, 625033, 0
210000, 0, 666497, 0
225000, 0, 719891, 0
240000, 0, 768197, 0
255000, 0, 837219, 0
270000, 0, 884843, 0
285000, 0, 922306, 0
300000, 0, 1001110, 0
315000, 0, 1124199, 0
330000, 0, 1141722, 0
345000, 0, 1209353, 0
360000, 0, 1335951, 0
375000, 0, 1329297, 0
390000, 0, 1393467, 0
405000, 0, 1362655, 0
420000, 0, 1397210, 0
435000, 0, 1459833, 0
450000, 0, 1478358, 0
465000, 0, 1518607, 0
480000, 0, 1559740, 0
495000, 0, 1682354, 0
510000, 0, 1679653, 0
525000, 0, 1791522, 0
540000, 0, 1836038, 0
555000, 0, 1982998, 0
570000, 0, 2012756, 0
585000, 0, 2019909, 0
600000, 0, 2077824, 0
615000, 0, 2104598, 0
630000, 0, 2078904, 0
645000, 0, 2140522, 0
660000, 0, 2174984, 0
675000, 0, 2228057, 0
690000, 0, 2273155, 0
705000, 0, 2314994, 0
720000, 0, 2387183, 0
735000, 0, 2495434, 0
750000, 0, 2466681, 0
765000, 0, 2494378, 0
780000, 0, 2521565, 0
795000, 0, 2573885, 0
810000, 0, 2621405, 0
825000, 0, 2672650, 0
840000, 0, 2711829, 0
855000, 0, 2903715, 0
870000, 0, 3022407, 0
885000, 0, 3015820, 0
900000, 0, 2969605, 0
915000, 0, 3015740, 0
930000, 0, 3189287, 0
945000, 0, 3231849, 0
960000, 0, 3170171, 0
975000, 0, 3233894, 0
990000, 0, 3292182, 0
1005000, 0, 3406237, 0
1020000, 0, 3366415, 0
1035000, 0, 3438847, 0
1050000, 0, 3503367, 0
1065000, 0, 3548159, 0
1080000, 0, 3570040, 0
1095000, 0, 3634312, 0
1110000, 0, 3764671, 0
1125000, 0, 3739916, 0
1140000, 0, 3800389, 0
1155000, 0, 3817761, 0
1170000, 0, 3899215, 0
1185000, 0, 3918480, 0
1200000, 0, 3962779, 0
1215000, 0, 4012686, 0
1230000, 0, 4083192, 0
1245000, 0, 4143062, 0
1260000, 0, 4155455, 0
1275000, 0, 4221709, 0
1290000, 0, 4340490, 0
1305000, 0, 4337673, 0
1320000, 0, 4368648, 0
1335000, 0, 4405751, 0
1350000, 0, 4439704, 0
1365000, 0, 4507074, 0
1380000, 0, 4549955, 0
1395000, 0, 4587749, 0
1410000, 0, 4660495, 0
1425000, 0, 4736372, 0
1440000, 0, 4740772, 0
1455000, 0, 4792754, 0
1470000, 0, 4866201, 0
1485000, 0, 4900196, 0
1500000, 0, 4949933, 0
