points, bw, hilbert, xsort
5000, 206243, 10928, 83441
5000, 211266, 10924, 84924
5000, 209512, 10871, 88150
5000, 214101, 10753, 84690
10000, 606807, 22047, 259355
10000, 603726, 22237, 255297
10000, 619115, 22042, 259363
10000, 598971, 22047, 251379
15000, 1113133, 34091, 490954
15000, 1119746, 33596, 483072
15000, 1123224, 33816, 494934
15000, 1121853, 33917, 485491
20000, 1708578, 44198, 768048
20000, 1708520, 44738, 774132
20000, 1743320, 43961, 784653
20000, 1721770, 43933, 780527
25000, 2421304, 54922, 1085080
25000, 2438047, 54463, 1111806
25000, 2454247, 54742, 1102712
25000, 2425750, 54758, 1109486
30000, 3161037, 66396, 1471880
30000, 3169599, 67100, 1476446
30000, 3193588, 66808, 1479523
30000, 3206046, 67366, 1476383
35000, 4010173, 77204, 1874357
35000, 4034178, 76317, 1897704
35000, 3933390, 76544, 1901155
35000, 4034095, 77233, 1872578
40000, 4879164, 88541, 2322822
40000, 4875467, 89747, 2331810
40000, 4939221, 89078, 2321050
40000, 4917923, 89664, 2315088
45000, 5856648, 100674, 2820319
45000, 5814698, 100422, 2808042
45000, 5821722, 100625, 2809238
45000, 5855276, 99807, 2835493
50000, 6842653, 114015, 3308623
50000, 6858241, 115051, 3329874
50000, 6855210, 112823, 3312511
50000, 6861388, 114616, 3341919
55000, 7933351, 125284, 3852727
55000, 7876309, 125023, 3865677
55000, 7912955, 125827, 3854495
55000, 7876425, 125386, 3863881
60000, 8995951, 137055, 4445880
60000, 9056547, 138398, 4427943
60000, 9043214, 138474, 4425930
60000, 9073875, 137553, 4493106
65000, 10180703, 150288, 5069821
65000, 10177366, 150598, 5024625
65000, 10192090, 149115, 5041155
65000, 10101621, 149037, 5084794
70000, 11468429, 158956, 5654424
70000, 11361604, 160380, 5673372
70000, 11399279, 160056, 5686173
70000, 11302551, 159092, 5622604
75000, 12618987, 168944, 6300807
75000, 12677936, 169642, 6285925
75000, 12588934, 170054, 6333463
75000, 12573523, 170294, 6311937
80000, 13910690, 181541, 6993957
80000, 13931380, 180523, 6949789
80000, 13878870, 178969, 6946939
80000, 13986133, 180829, 6998503
85000, 15212752, 190990, 7732323
85000, 15175385, 190422, 7682308
85000, 15092628, 190988, 7649082
85000, 15192554, 189736, 7697982
90000, 16622322, 200301, 8393253
90000, 16687595, 199220, 8397926
90000, 16516700, 199843, 8390234
90000, 16537976, 200778, 8394295
95000, 17939782, 210703, 9190874
95000, 18160376, 211707, 9223813
95000, 18077246, 211387, 9202385
95000, 18146962, 211423, 9115147
100000, 19663581, 222294, 9936447
100000, 19565398, 221946, 9918553
100000, 19427391, 222401, 9911396
100000, 19331956, 222650, 9929091
105000, 20869496, 234213, 10714279
105000, 20987648, 233767, 10684531
105000, 20917180, 234539, 10697805
105000, 20861438, 234749, 10644498
110000, 22479138, 250094, 11510092
110000, 22443437, 246638, 11472520
110000, 22582489, 248441, 11468931
110000, 22405833, 248289, 11496709
115000, 23876413, 262405, 12309611
115000, 23945510, 261262, 12362503
115000, 24101387, 262308, 12226210
115000, 24010985, 261083, 12300076
120000, 25620689, 269800, 13190757
120000, 25803515, 271855, 13164539
120000, 25652419, 270466, 13177735
120000, 25486929, 270115, 13229535
125000, 27018757, 282936, 14036705
125000, 27113510, 280607, 14043304
125000, 27211998, 279871, 14066568
125000, 27189419, 280391, 14154302
130000, 28845419, 290694, 15011787
130000, 28726650, 290812, 14826303
130000, 28865816, 292769, 14934847
130000, 28804331, 292272, 15003435
135000, 30490551, 300940, 15947367
135000, 30415442, 303676, 15857356
135000, 30637693, 302449, 15882193
135000, 30551028, 303397, 15793278
140000, 32191511, 309314, 16739894
140000, 32406343, 309771, 16839366
140000, 32238895, 310799, 16762001
140000, 32325136, 312028, 16791551
145000, 33858630, 322453, 17733458
145000, 34067383, 319903, 17737799
145000, 34244117, 320073, 17818056
145000, 33873165, 320043, 17792379
150000, 35762997, 331655, 18685796
150000, 35839154, 331870, 18685894
150000, 35705485, 331662, 18686827
150000, 35860554, 331533, 18731730
