points, bw, hilbert, xsort
5000, 0, 10861, 10861
10000, 10861, 22128, 22128
15000, 22128, 33821, 33821
20000, 33821, 43967, 43967
25000, 43967, 54495, 54495
30000, 54495, 67086, 67086
35000, 67086, 76170, 76170
40000, 76170, 89205, 89205
45000, 89205, 101017, 101017
50000, 101017, 114017, 114017
55000, 114017, 124621, 124621
60000, 124621, 138513, 138513
65000, 138513, 148945, 148945
70000, 148945, 158246, 158246
75000, 158246, 169006, 169006
80000, 169006, 180537, 180537
85000, 180537, 191197, 191197
90000, 191197, 200125, 200125
95000, 200125, 212122, 212122
100000, 212122, 223024, 223024
105000, 223024, 232951, 232951
110000, 232951, 248875, 248875
115000, 248875, 261058, 261058
120000, 261058, 269791, 269791
125000, 269791, 282132, 282132
130000, 282132, 291353, 291353
135000, 291353, 302468, 302468
140000, 302468, 312123, 312123
145000, 312123, 322388, 322388
150000, 322388, 334091, 334091
155000, 334091, 345622, 345622
160000, 345622, 364009, 364009
165000, 364009, 378300, 378300
170000, 378300, 386194, 386194
175000, 386194, 396076, 396076
180000, 396076, 405547, 405547
185000, 405547, 419609, 419609
190000, 419609, 433468, 433468
195000, 433468, 446833, 446833
200000, 446833, 465598, 465598
205000, 465598, 472772, 472772
210000, 472772, 488242, 488242
215000, 488242, 496732, 496732
220000, 496732, 510175, 510175
225000, 510175, 517839, 517839
230000, 517839, 528651, 528651
235000, 528651, 543954, 543954
240000, 543954, 559229, 559229
245000, 559229, 572596, 572596
250000, 572596, 585449, 585449
255000, 585449, 595282, 595282
260000, 595282, 604475, 604475
265000, 604475, 618114, 618114
270000, 618114, 624437, 624437
275000, 624437, 640467, 640467
280000, 640467, 645758, 645758
285000, 645758, 657554, 657554
290000, 657554, 668914, 668914
295000, 668914, 677455, 677455
300000, 677455, 687609, 687609
305000, 687609, 697452, 697452
310000, 697452, 707570, 707570
315000, 707570, 717381, 717381
320000, 717381, 730823, 730823
325000, 730823, 741575, 741575
330000, 741575, 752049, 752049
335000, 752049, 761479, 761479
340000, 761479, 773614, 773614
345000, 773614, 784753, 784753
350000, 784753, 792437, 792437
