points, bw, hilbert, xsort
5000, 0, 11058, 10892
10000, 0, 22194, 20957
15000, 0, 33844, 33100
20000, 0, 44171, 43485
25000, 0, 54498, 53182
30000, 0, 66870, 65183
35000, 0, 76559, 74735
40000, 0, 89440, 83409
45000, 0, 100567, 94821
50000, 0, 113929, 110654
55000, 0, 125159, 122087
60000, 0, 137457, 131967
65000, 0, 149780, 143879
70000, 0, 158794, 153972
75000, 0, 170812, 163505
80000, 0, 180479, 171624
85000, 0, 191042, 183574
90000, 0, 201255, 193059
95000, 0, 211440, 203858
100000, 0, 222690, 213806
105000, 0, 236198, 225919
110000, 0, 247570, 237856
115000, 0, 262106, 249796
